test,rps,p50_latency_ms,p99_latency_ms,requests,subscribers,delivered_messages
PUBLISH_fanout_0,15814.161788097983,0.060375,0.096212,10000,0,0
PUBLISH_fanout_1,9835.96944248578,0.094569,0.181033,10000,1,10000
PUBLISH_fanout_10,1645.5756315200385,0.561353,1.438234,10000,10,100000
