File: gocache
Build ID: 7d6f7b0401669da96be43c8951fce4eda2e07b01
Type: delay
Time: 2026-06-09 16:10:46 UTC
Showing nodes accounting for 96826874.81us, 100% of 96826874.81us total
Showing top 200 nodes out of 201
      flat  flat%   sum%        cum   cum%
         0     0%   100%   347.77us 0.00036%  syscall.write
         0     0%   100%   300.38us 0.00031%  gocache/pkg/server.(*OperationTrackerDrainWorker).projectCompletedOperation
         0     0%   100%   296.07us 0.00031%  runtime.makeslice
         0     0%   100%   285.75us 0.0003%  runtime.entersyscall_gcwait
         0     0%   100%   264.42us 0.00027%  runtime.readyWithTime
         0     0%   100%   264.42us 0.00027%  runtime.readyWithTime.goready.func1
         0     0%   100%   257.90us 0.00027%  runtime.mallocgcSmallNoscan
         0     0%   100%   256.69us 0.00027%  runtime.gcStart
         0     0%   100%   256.69us 0.00027%  runtime.gcStart.func2
         0     0%   100%   256.69us 0.00027%  runtime.stopTheWorldWithSema
         0     0%   100%   216.52us 0.00022%  runtime.mallocgcSmallScanHeader
         0     0%   100%   209.60us 0.00022%  gocache/pkg/events.(*Bus).Emit
         0     0%   100%   209.60us 0.00022%  gocache/pkg/events.(*ring).push
         0     0%   100%   209.60us 0.00022%  gocache/pkg/events.cloneEvent
         0     0%   100%   209.60us 0.00022%  google.golang.org/protobuf/proto.Clone
         0     0%   100%   202.29us 0.00021%  runtime.runSafePointFn
         0     0%   100%   198.49us 0.0002%  gocache/commons/resp.StringArray
         0     0%   100%   198.49us 0.0002%  gocache/pkg/server.(*Server).mapToResp
         0     0%   100%   198.49us 0.0002%  gocache/pkg/server.(*Server).mapValueToResp
         0     0%   100%   196.98us 0.0002%  runtime.gcstopm
         0     0%   100%   190.37us 0.0002%  gocache/pkg/server.materializeOperationFinishedRecord
         0     0%   100%   189.87us 0.0002%  runtime.gcMarkTermination.forEachP.func6
         0     0%   100%   181.75us 0.00019%  internal/runtime/maps.newGroups
         0     0%   100%   181.75us 0.00019%  internal/runtime/maps.newarray
         0     0%   100%   181.75us 0.00019%  runtime.newarray
         0     0%   100%   176.24us 0.00018%  gocache/pkg/pipeline.recordCommandStartTelemetryContext
         0     0%   100%   176.24us 0.00018%  runtime.slicebytetostring
         0     0%   100%   176.24us 0.00018%  strconv.FormatInt
         0     0%   100%   176.24us 0.00018%  strconv.formatBits
         0     0%   100%   169.83us 0.00018%  reflect.unsafe_New
         0     0%   100%   152.39us 0.00016%  gocache/commons/resp.(*Reader).Read
         0     0%   100%   140.57us 0.00015%  google.golang.org/protobuf/internal/impl.(*MessageInfo).initOneofFieldCoders.func5
         0     0%   100%   140.57us 0.00015%  google.golang.org/protobuf/internal/impl.(*MessageInfo).merge
         0     0%   100%   140.57us 0.00015%  google.golang.org/protobuf/internal/impl.(*MessageInfo).mergePointer
         0     0%   100%   140.57us 0.00015%  google.golang.org/protobuf/internal/impl.mergeMap
         0     0%   100%   140.57us 0.00015%  google.golang.org/protobuf/internal/impl.mergeMessage
         0     0%   100%   140.57us 0.00015%  google.golang.org/protobuf/proto.mergeOptions.mergeMessage
         0     0%   100%   112.11us 0.00012%  internal/runtime/maps.NewMap
