"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","609756.06","0.733","0.016","0.367","2.807","6.295","21.935"
"PING_MBULK","680272.12","0.651","0.024","0.351","1.943","4.903","26.095"
"SET","366300.38","1.359","0.024","0.895","4.239","6.791","16.479"
"GET","561797.75","0.874","0.024","0.487","3.119","8.079","19.775"
"INCR","347222.25","1.426","0.032","0.911","4.503","7.295","13.319"
"LPUSH","321543.41","1.540","0.024","1.383","3.543","4.967","18.831"
"RPUSH","333333.31","1.489","0.024","1.303","3.503","5.551","21.999"
"LPOP","331125.84","1.499","0.024","1.295","3.599","5.503","7.935"
"RPOP","320512.81","1.540","0.024","1.383","3.519","4.759","7.415"
"SADD","290697.66","1.698","0.032","1.479","4.095","6.847","14.807"
"HSET","273972.59","1.800","0.040","1.567","4.247","7.519","13.031"
"SPOP","325732.88","1.524","0.016","1.351","3.775","5.447","14.231"
"LPUSH (needed to benchmark LRANGE)","318471.31","1.560","0.024","1.343","3.799","6.231","11.647"
"LRANGE_100 (first 100 elements)","143678.17","3.277","0.104","1.823","11.383","20.319","40.415"
"MSET (10 keys)","122549.02","4.068","0.112","3.319","9.943","14.983","37.215"
